OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,REGULATED,CNTRL_AREA,PLAN_AREA,HOLDING_CO,SUMMR_PEAK,WINTR_PEAK,SUMMER_CAP,WINTER_CAP,NET_GEN,PURCHASED,NET_EX,RETAIL_MWH,WSALE_MWH,TOTAL_MWH,TRANS_MWH,CUSTOMERS,YEAR,Shape__Are,Shape__Len,IPM_Region,ID_2
"99","10625","LAMB COUNTY ELECTRIC COOP, INC",2415 S. PHELPS AVE.,LITTLEFIELD,TX,"79339",(806) 385-5191,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.lcec.coop/,NOT AVAILABLE,SOUTHWEST POWER POOL,"GOLDEN SPREAD ELECTRIC COOPERATIVE, INC.","LAMB COUNTY ELECTRIC COOP, INC",91.000000000000000,38.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","406205","0","371723","-999999","406205","0","11479","2020",1.373535096349310,5.697586259836530,ERC_PHDL,"1"
"162","11014","LIGHTHOUSE ELECTRIC COOP, INC",HIGHWAY 70 E.,FLOYDADA,TX,"79235",(806) 983-2814,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.lighthouse.coop/,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.","GOLDEN SPREAD ELECTRIC COOPERATIVE, INC.","LIGHTHOUSE ELECTRIC COOP, INC",107.000000000000000,29.000000000000000,-999999.000000000000000,-999999.000000000000000,"0","310654","0","284123","0","310654","0","9374","2020",2.782026162749840,7.774821839264640,ERC_PHDL,"1"
"273","1169",BAILEY COUNTY ELEC COOP ASSN,610 E. AMERICAN BLVD.,MULESHOE,TX,"79347",(806) 272-4504,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.bcecoop.com/,NOT AVAILABLE,SOUTHWEST POWER POOL,"GOLDEN SPREAD ELECTRIC COOPERATIVE, INC.",BAILEY COUNTY ELEC COOP ASSN,89.000000000000000,45.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","398882","0","366121","-999999","398882","0","8943","2020",1.115764009400660,4.850839386263000,ERC_PHDL,"1"
"591","13757",NORTH PLAINS ELECTRIC COOP INC,14585 U.S. HWY. 83 N.,PERRYTON,TX,"79070",(806) 435-5482,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.npec.org/,NOT AVAILABLE,SOUTHWEST POWER POOL,"GOLDEN SPREAD ELECTRIC COOPERATIVE, INC.",NORTH PLAINS ELECTRIC COOP INC,106.000000000000000,57.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","401186","0","372752","-999999","401186","0","7122","2020",1.661066038099530,5.883634586717220,ERC_PHDL,"1"
"913","1591","BIG COUNTRY ELECTRIC COOP, INC",1010 W. SOUTH FIRST ST.,ROBY,TX,"79543",(325) 776-2244,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.bigcountry.coop/,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.","GOLDEN SPREAD ELECTRIC COOPERATIVE, INC.","BIG COUNTRY ELECTRIC COOP, INC",66.000000000000000,67.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","283077","0","255477","-999999","283077","0","13128","2020",2.730257364651380,8.116595943236520,ERC_PHDL,"1"
"930","16063","RITA BLANCA ELECTRIC COOP, INC",12210 U.S. HWY. 87 N.,DALHART,TX,"79022",(806) 249-4506,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.ritablancaelectric.com/,NOT AVAILABLE,SOUTHWEST POWER POOL,"GOLDEN SPREAD ELECTRIC COOPERATIVE, INC.","RITA BLANCA ELECTRIC COOP, INC",145.000000000000000,56.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","762371","0","717098","-999999","762371","0","8013","2020",2.336943325402220,6.549023695349740,ERC_PHDL,"1"
"1131","17561",SOUTH PLAINS ELECTRIC COOP INC,4727 S. LOOP 289 STE. 200,LUBBOCK,TX,"79424",(806) 775-7732,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2021/05/07,http://www.spec.coop/,REGULATED,SOUTHWEST POWER POOL,"GOLDEN SPREAD ELECTRIC COOPERATIVE, INC.",SOUTH PLAINS ELECTRIC COOP INC,382.000000000000000,249.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","1665360","0","1594071","16","1665360","0","63556","2020",4.051490617550370,10.247615045310299,ERC_PHDL,"1"
"1171","17698",SOUTHWESTERN ELECTRIC POWER CO,212 E. 6TH STREET,TULSA,OK,"74119",NOT AVAILABLE,INVESTOR OWNED,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, http://outagemap.swepco.com.s3.amazonaws.com/external/default.html",2021/10/06,OTHER,2018/10/12,NOT AVAILABLE,NOT AVAILABLE,SOUTHWEST POWER POOL,"AMERICAN ELECTRIC POWER COMPANY, INC.",AMERICAN ELECTRIC POWER CO,4350.000000000000000,3714.000000000000000,5142.000000000000000,5231.000000000000000,"13442167","10287051","0","16253923","6682802","23729218","0","543101","2020",5.661771558039850,25.365645486765299,ERC_PHDL,"1"
"1172","17715",SOUTHWESTERN ELECTRIC COOP INC - (NM),NOT AVAILABLE,NOT AVAILABLE,NM,NOT AVAILABLE,NOT AVAILABLE,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,NOT AVAILABLE,NOT AVAILABLE,PUBLIC SERVICE COMPANY OF NEW MEXICO,NOT AVAILABLE,SOUTHWESTERN ELECTRIC COOP INC - (NM),58.000000000000000,51.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","327701","0","321774","-999999","327701","0","2256","2020",5.776028391102500,14.329879496262700,ERC_PHDL,"1"
"1173","17718",SOUTHWESTERN PUBLIC SERVICE CO,600 TYLER ST,AMARILLO,TX,"79171",(800) 895-4999,INVESTOR OWNED,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.xcelenergy.com/,REGULATED,SOUTHWEST POWER POOL,SOUTHWESTERN PUBLIC SERVICE COMPANY (XCEL),XCEL ENERGY INC,4118.000000000000000,3412.000000000000000,4958.000000000000000,4985.000000000000000,"14377313","15496237","0","20574257","8612293","29873550","0","396990","2020",16.654098666250100,27.275524420360401,ERC_PHDL,"1"
